field_type,size,n_arrays,metric,value,uncertainty,n_valid
fBm,512,10,ens_corr_dim,1.7360587572230994,0.012876939650700992,
fBm,512,10,ind_corr_dim,1.6001345457570197,0.036543408707088394,4.0
fBm,512,10,ind_frac_dim,1.3783618508649125,0.02798370726162778,
fBm,512,10,area_exp,0.8647208546307097,0.23210268699381242,
fBm,512,10,perim_exp,,,
fBm,1024,10,ens_corr_dim,1.7354809440001873,0.011232638699308012,
fBm,1024,10,ind_corr_dim,1.5528887338200057,0.13979937186267585,10.0
fBm,1024,10,ind_frac_dim,1.3681175326935948,0.019420130565962878,
fBm,1024,10,area_exp,0.8872763968835832,0.07818666146752032,
fBm,1024,10,perim_exp,3.4447485017668886,0.180753969505047,
fBm,2048,10,ens_corr_dim,1.7416586715091853,0.011136229362501797,
fBm,2048,10,ind_corr_dim,1.565026712977532,0.1391024290711807,10.0
fBm,2048,10,ind_frac_dim,1.3765471610139879,0.011835266703087837,
fBm,2048,10,area_exp,0.8964730743189149,0.035139951539625416,
fBm,2048,10,perim_exp,1.3213710098376499,0.036761794407723924,
fBm,4096,10,ens_corr_dim,1.7438994899228928,0.009995358136961466,
fBm,4096,10,ind_corr_dim,1.643860316049281,0.06818639904512964,10.0
fBm,4096,10,ind_frac_dim,1.3729575508128293,0.012885939856538983,
fBm,4096,10,area_exp,0.8958423613169914,0.01682196693774439,
fBm,4096,10,perim_exp,1.313995218056022,0.03368803827590449,
fBm,8192,10,ens_corr_dim,1.7416522028013317,0.010403015256481355,
fBm,8192,10,ind_corr_dim,1.6205772657460777,0.0363189906882292,10.0
fBm,8192,10,ind_frac_dim,1.366151029807277,0.01292206995294393,
fBm,8192,10,area_exp,0.9041225818423629,0.01201559484182366,
fBm,8192,10,perim_exp,1.3117253232958943,0.02591711919614096,
FIF,512,10,ens_corr_dim,1.689081700038695,0.011768379061097806,
FIF,512,10,ind_corr_dim,1.5975556823252177,0.01656984141468712,3.0
FIF,512,10,ind_frac_dim,1.3734769808037623,0.03999423305458506,
FIF,512,10,area_exp,0.7988754390056012,0.22496207129219972,
FIF,512,10,perim_exp,,,
FIF,1024,10,ens_corr_dim,1.69766263943644,0.013169413833902195,
FIF,1024,10,ind_corr_dim,1.5379531038747773,0.11227008116180456,9.0
FIF,1024,10,ind_frac_dim,1.351801115052378,0.03909803491374289,
FIF,1024,10,area_exp,0.8656572740216084,0.07255909788016245,
FIF,1024,10,perim_exp,3.197812157590066,0.10584074930119064,
FIF,2048,10,ens_corr_dim,1.6949384574009838,0.012588007299090855,
FIF,2048,10,ind_corr_dim,1.5430637613111595,0.08898666614298814,10.0
FIF,2048,10,ind_frac_dim,1.356186916436466,0.02658790659886268,
FIF,2048,10,area_exp,0.8684715514885483,0.033596637291781174,
FIF,2048,10,perim_exp,1.2980639372064828,0.038554113717924866,
FIF,4096,10,ens_corr_dim,1.6838184877582092,0.008126881942035829,
FIF,4096,10,ind_corr_dim,1.579055912745864,0.13348157492625018,10.0
FIF,4096,10,ind_frac_dim,1.366884711253447,0.015928300993658825,
FIF,4096,10,area_exp,0.8912490976323072,0.015258099018234987,
FIF,4096,10,perim_exp,1.317335560621731,0.03469341216904644,
FIF,8192,10,ens_corr_dim,1.6931497125679285,0.010043737172541528,
FIF,8192,10,ind_corr_dim,1.5406676068681535,0.07102031678353773,10.0
FIF,8192,10,ind_frac_dim,1.3440035661255476,0.018065536481873975,
FIF,8192,10,area_exp,0.8885589416858218,0.011855210708350685,
FIF,8192,10,perim_exp,1.2947157129144904,0.027307241909350046,
