field_type,size,n_arrays,metric,value,objscale_uncertainty,bootstrap_uncertainty
fBm,2048,1,ens_corr_dim,1.7150298030185798,0.01509636339717771,0.028721109063436386
fBm,2048,2,ens_corr_dim,1.7250597490993207,0.012612099480384987,0.018486492010755345
fBm,2048,4,ens_corr_dim,1.7507024494775365,0.018529451089266933,0.016462540252628066
fBm,2048,8,ens_corr_dim,1.732382431331756,0.013905103300364012,0.007236247349432817
fBm,2048,16,ens_corr_dim,1.7439175723845945,0.014468863961850643,0.007603641752533147
fBm,2048,32,ens_corr_dim,1.7443888586078924,0.011868323585578919,0.004018310414344836
FIF,2048,1,ens_corr_dim,1.6426956286162349,0.011992119353327467,0.06160627716294866
FIF,2048,2,ens_corr_dim,1.7062409574461208,0.008718807999646474,0.04126454423101445
FIF,2048,4,ens_corr_dim,1.7122532545861813,0.009250533369627504,0.02758157416981383
FIF,2048,8,ens_corr_dim,1.7179775733246314,0.013295373249980928,0.016606799678985165
FIF,2048,16,ens_corr_dim,1.7061669453974726,0.011243036759934618,0.010572749133560953
FIF,2048,32,ens_corr_dim,1.7127482256203368,0.011169826344030723,0.006717062721029623
FIF_sub,2048,1,ens_corr_dim,1.6820802921325444,0.006030792319792436,0.050067643681264096
FIF_sub,2048,2,ens_corr_dim,1.687900001995737,0.015524205452656857,0.024765047592333358
FIF_sub,2048,4,ens_corr_dim,1.7151253397992539,0.01039421697636066,0.018447663525232454
FIF_sub,2048,8,ens_corr_dim,1.6944047398583908,0.01462699260571983,0.013783206978801253
FIF_sub,2048,16,ens_corr_dim,1.717229328089245,0.011773988225368088,0.006254709881484014
FIF_sub,2048,32,ens_corr_dim,1.7152023711439703,0.012650510384841053,0.005911748685112392
